Player,Matches,Batting Avg,Strike Rate,Bowling Economy,Bowling Avg Wickets
R Sathish,4,8.0,100.0,9.0,0.25
JA Morkel,2,16.0,177.78,10.76,1.0
AB Dinda,12,7.0,87.5,7.84,1.0
S Nadeem,28,3.2,51.61,8.27,0.68
RR Pant,50,33.93,137.86,0.0,0.0
CA Lynn,39,37.21,138.71,0.0,0.0
JD Unadkat,50,17.88,120.17,8.9,0.84
SS Tiwary,17,33.85,117.33,0.0,0.0
S Kaushik,10,0.0,0.0,8.31,0.6
JO Holder,39,12.79,118.54,8.01,1.28
SW Billings,27,20.12,126.07,0.0,0.0
KS Williamson,50,36.42,119.84,12.0,0.0
Sachin Baby,12,20.14,121.55,4.8,0.17
Gurkeerat Singh,14,47.0,116.05,6.69,0.14
KC Cariappa,10,8.0,114.29,8.83,0.7
PSP Handscomb,1,6.0,50.0,0.0,0.0
SM Boland,2,0.0,0.0,7.4,1.0
Swapnil Singh,14,10.2,110.87,8.65,0.5
UT Khawaja,6,31.75,120.95,0.0,0.0
Yuvraj Singh,32,24.11,123.3,9.05,0.03
CJ Jordan,34,10.12,100.0,8.64,0.88
GJ Bailey,5,21.0,84.85,0.0,0.0
A Zampa,22,5.0,60.0,8.07,1.41
HM Amla,16,48.08,138.04,0.0,0.0
Anureet Singh,6,18.0,112.5,8.84,0.17
F Behardien,3,7.0,107.69,0.0,0.0
N Rana,50,27.95,135.61,8.47,0.06
UBT Chand,1,0.0,0.0,0.0,0.0
AS Rajpoot,27,6.0,68.57,8.17,0.85
BCJ Cutting,20,23.0,164.29,8.89,0.45
DL Chahar,50,39.0,139.29,7.91,0.92
ER Dwivedi,2,12.0,160.0,0.0,0.0
TA Boult,50,17.25,106.15,7.72,1.18
TS Mills,10,2.0,57.14,9.03,1.1
A Choudhary,5,25.0,125.0,7.61,1.0
Mandeep Singh,49,21.72,118.84,13.0,0.0
Rashid Khan,50,20.86,161.33,8.1,1.1
BA Stokes,45,24.61,130.22,7.93,0.62
JJ Roy,21,32.32,133.48,0.0,0.0
CR Woakes,21,15.6,101.3,8.23,1.43
MS Gony,1,0.0,0.0,11.6,0.0
T Natarajan,50,3.0,60.0,8.33,1.2
MK Tiwary,17,37.1,129.27,6.0,0.0
DT Christian,26,11.9,109.17,7.66,0.73
RD Chahar,50,9.33,101.82,7.76,0.9
PJ Cummins,50,23.45,151.29,8.52,1.14
Vishnu Vinod,6,11.2,96.55,0.0,0.0
B Stanlake,6,5.0,250.0,7.76,1.17
Basil Thampi,25,32.0,86.49,9.22,0.88
Tejas Baroka,1,0.0,0.0,9.43,0.0
SL Malinga,24,7.0,233.33,8.33,1.12
CJ Anderson,14,19.88,104.61,9.73,0.43
RA Tripathi,50,27.11,136.01,0.0,0.0
V Shankar,50,21.67,118.51,6.71,0.16
C de Grandhomme,25,21.64,132.31,7.85,0.24
S Badree,7,2.6,52.0,7.39,1.29
AJ Tye,30,11.38,115.19,7.97,1.4
SN Thakur,50,15.33,138.0,8.66,1.1
LH Ferguson,49,36.0,146.94,8.18,1.1
MM Patel,2,0.0,0.0,8.14,0.5
AD Mathews,2,16.0,114.29,10.65,0.0
Mohammad Nabi,24,17.0,140.76,7.36,0.62
S Kaul,44,5.5,44.0,8.33,1.18
Mohammed Siraj,50,8.0,84.21,7.74,1.04
K Rabada,50,15.0,111.11,8.24,1.24
Washington Sundar,50,16.7,118.37,7.71,0.55
SS Agarwal,1,0.0,0.0,10.5,1.0
NB Singh,2,0.0,0.0,3.36,0.5
DM Bravo,1,6.0,120.0,0.0,0.0
Ankit Soni,6,3.5,77.78,7.55,0.33
AR Bawne,1,12.0,100.0,0.0,0.0
SP Jackson,8,10.17,107.02,0.0,0.0
MN Samuels,5,9.67,90.62,11.33,0.0
R Tewatia,50,25.38,132.0,9.03,0.16
MJ Henry,6,0.0,0.0,10.17,0.33
Avesh Khan,50,26.5,160.61,8.85,1.2
IR Jaggi,2,33.0,82.5,0.0,0.0
E Lewis,26,27.25,131.06,0.0,0.0
MA Wood,5,6.0,120.0,8.13,2.2
M Markande,37,16.0,109.09,8.56,1.0
Mujeeb Ur Rahman,20,4.0,80.0,7.57,1.0
K Khejroliya,8,0.0,0.0,9.61,0.75
RK Singh,50,31.4,138.59,0.0,0.0
DJM Short,7,23.0,112.75,6.33,0.14
K Gowtham,36,16.47,155.35,7.98,0.58
B Laughlin,7,1.0,25.0,9.09,1.29
TK Curran,13,25.4,117.59,9.9,1.0
A Dananjaya,1,4.0,80.0,11.04,0.0
Shubman Gill,50,54.73,146.91,0.0,0.0
Shivam Mavi,32,5.67,87.93,7.89,0.94
H Klaasen,45,41.11,163.18,0.0,0.0
RK Bhui,4,2.5,37.04,0.0,0.0
JC Archer,50,15.88,145.98,7.22,1.1
LE Plunkett,7,1.0,33.33,8.61,0.57
PP Shaw,50,25.73,146.46,0.0,0.0
AD Hales,6,24.67,124.37,0.0,0.0
IS Sodhi,8,3.5,38.89,6.63,1.12
MK Lomror,37,18.17,135.48,7.85,0.03
L Ngidi,16,0.0,0.0,7.86,1.81
KM Asif,7,0.0,0.0,9.19,1.0
DJ Willey,11,26.5,82.81,7.25,0.55
DR Shorey,2,6.5,65.0,0.0,0.0
M Prasidh Krishna,50,8.0,47.06,7.8,1.22
MM Ali,50,23.83,128.64,7.02,0.61
P Chopra,1,8.0,133.33,0.0,0.0
JPR Scantlebury-Searles,3,8.0,133.33,11.47,0.67
Abhishek Sharma,50,29.92,165.06,9.09,0.08
S Lamichhane,9,0.0,0.0,8.27,1.44
CJ Dala,1,0.0,0.0,10.42,0.0
SP Goswami,5,13.0,110.64,0.0,0.0
KK Ahmed,50,0.5,25.0,8.32,1.14
SO Hetmyer,50,34.07,143.19,0.0,0.0
S Dube,50,36.1,143.53,13.26,0.02
Navdeep Saini,31,8.25,86.84,8.01,0.77
JM Bairstow,50,36.33,142.67,0.0,0.0
Rasikh Salam,13,10.0,100.0,9.67,0.77
CA Ingram,12,20.44,117.2,0.0,0.0
KMA Paul,8,4.5,69.23,7.2,1.12
N Pooran,50,44.69,166.91,0.0,0.0
SM Curran,50,27.42,124.45,9.23,0.84
CV Varun,50,14.0,46.67,7.68,1.24
GC Viljoen,6,1.5,42.86,8.63,1.17
